ISSUER_ID,MATURITY,OFFERING_DATE,OFFERING_PRICE,OFFERING_YIELD,DELIVERY_DATE,COUPON
34216,2020/6/27,2000/6/22,46.413,3.875,2000/6/27,0
34216,2020/6/27,2000/11/16,46.413,3.875,2000/12/16,0
34216,2032/4/15,2002/3/20,99.481,7.99516,2002/3/25,7.95
34216,2006/8/1,2003/7/28,99.955,2.76572,2003/8/4,2.75
34216,2014/1/15,2009/1/6,99.774,5.67711,2009/1/9,5.625
34216,2019/1/15,2009/1/6,99.698,6.34097,2009/1/9,6.3
34216,2021/7/15,2011/7/5,99.307,4.0851,2011/7/12,4
34216,2016/7/15,2011/7/5,99.77,2.4491,2011/7/12,2.4
34216,2041/7/15,2011/7/5,99.682,5.6221,2011/7/12,5.6
34216,2017/5/15,2012/5/7,99.753,1.92703,2012/5/14,1.875
34216,2022/5/15,2012/5/7,99.408,3.32005,2012/5/14,3.25
34216,2042/5/15,2012/5/7,99.115,4.80599,2012/5/14,4.75
34216,2016/12/15,2013/12/11,99.901,1.23382,2013/12/19,1.2
34216,2018/12/15,2013/12/11,99.827,2.28686,2013/12/19,2.25
34216,2045/6/15,2015/6/11,99.775,5.08,2015/6/16,5
34216,2025/12/15,2015/12/10,99.955,5.856,2015/12/15,5.85